Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Date,Local Win?,L bullpen recieved,V bullpen recieved
,Blue,Rays,9.0,2.0,5.0,2.0,11.0,9.0,J. Berrios ,5.0,2.0,8.0,3.0,2.0,C. Kluber ,3.0,5.0,7.0,1.0,2.0,20220701,1.0,0.0,4.0
,Nationals,Marlins,3.0,6.0,1.0,4.0,5.0,12.0,J. Gray ,5.2,6.0,10.0,6.0,2.0,T. Rogers ,5.0,1.0,2.0,4.0,3.0,20220701,0.0,0.0,2.0
,Phillies,Cardinals,5.0,3.0,3.0,3.0,7.0,7.0,B. Falter,4.0,3.0,5.0,5.0,1.0,M. Mikolas ,5.1,4.0,6.0,1.0,2.0,20220701,1.0,0.0,1.0
,Reds,Braves,1.0,9.0,1.0,2.0,6.0,12.0,M. Minor ,6.0,2.0,6.0,3.0,0.0,M. Fried ,7.0,1.0,5.0,4.0,0.0,20220701,0.0,7.0,0.0
,Pirates,Brewers,2.0,19.0,0.0,9.0,3.0,16.0,R. Contreras ,1.2,7.0,5.0,1.0,2.0,C. Burnes ,6.0,1.0,1.0,5.0,4.0,20220701,0.0,12.0,1.0
,Mets,Rangers,4.0,3.0,4.0,2.0,6.0,6.0,D. Peterson ,6.0,3.0,5.0,10.0,0.0,G. Otto ,4.0,4.0,4.0,1.0,3.0,20220701,1.0,0.0,0.0
,Tigers,Royals,1.0,3.0,0.0,3.0,6.0,10.0,M. Pineda ,5.0,3.0,7.0,3.0,0.0,B. Keller ,6.0,0.0,5.0,5.0,2.0,20220701,0.0,0.0,1.0
,Astros,Angels,8.0,1.0,8.0,1.0,11.0,2.0,C. Javier ,7.0,1.0,1.0,14.0,0.0,M. Lorenzen ,3.0,8.0,8.0,3.0,2.0,20220701,1.0,0.0,0.0
,Rockies,Diamondbacks,3.0,9.0,1.0,3.0,6.0,11.0,A. Senzatela ,2.0,3.0,4.0,1.0,1.0,M. Kelly ,7.0,2.0,5.0,3.0,1.0,20220701,0.0,6.0,1.0
,Twins,Orioles,3.0,2.0,1.0,1.0,5.0,4.0,J. Ryan,7.0,1.0,2.0,7.0,1.0,S. Watkins,6.0,1.0,3.0,5.0,1.0,20220701,1.0,1.0,2.0
